lambda,y1,y2,true_y1,true_y2
1.580555544013384495e-02,1.576543429623569748e-01,8.262736171484943437e-01,8.533052418400235983e-02,8.564140241861092351e-01
5.083346194847715438e-02,6.597234306474240029e-01,1.884123617279411800e+00,6.299226743209915824e-01,1.904705044244740186e+00
6.033081857422173400e-02,9.187100271706363230e-01,2.232046028541215588e+00,8.966534629619773433e-01,2.251006706155781689e+00
6.682575470146290275e-02,1.117212746027564929e+00,2.460810601489123783e+00,1.104379709953153599e+00,2.473819569383153727e+00
6.993163147686121128e-02,1.255707742904826008e+00,2.522257411065950361e+00,1.209531125425929998e+00,2.573253151147389506e+00
8.115400042389930846e-02,1.625962691278268091e+00,2.851134004932252441e+00,1.609375577509588595e+00,2.877817207150560552e+00
1.073123628325204360e-01,2.483784289187025873e+00,3.080827969843161096e+00,2.490818754497290399e+00,3.116572891103026599e+00
1.086571032622624111e-01,2.537210016514859223e+00,3.145527222426629521e+00,2.527459865913952441e+00,3.108203054779423269e+00
1.107242586005543483e-01,2.595214845001979409e+00,3.129265788768001322e+00,2.581156228532541341e+00,3.091330995468028586e+00
1.272761983290392473e-01,2.864764742924969187e+00,2.788324876240089623e+00,2.871665074429706532e+00,2.790677991057709750e+00
1.308903308504950624e-01,2.877290431615461941e+00,2.686629984984221231e+00,2.896636343876187070e+00,2.689788098767198488e+00
1.311551691847099299e-01,2.904784668276513937e+00,2.683013012692613497e+00,2.897867402794339409e+00,2.681964933020944297e+00
1.474259534855858478e-01,2.771303850379720490e+00,2.126312444996354412e+00,2.809275777741957469e+00,2.111308445606618012e+00
1.544230880221424407e-01,2.621303524800828288e+00,1.858187000570102221e+00,2.670824696803827170e+00,1.829278297984709534e+00
1.697999737727075020e-01,2.139724993008215836e+00,1.231426687575966294e+00,2.172905534696765617e+00,1.198123662825371305e+00
1.751805678560036661e-01,1.925010354157231429e+00,1.012697128077076014e+00,1.945638330803374449e+00,9.885733646400661767e-01
1.763555764178013074e-01,1.855967999705396831e+00,9.891533043216166332e-01,1.893063422780720151e+00,9.443413885639698746e-01
