lambda,y1,y2,true_y1,true_y2
1.205186301592520159e-02,-1.057860329155657197e+00,3.252156500497691560e-01,-1.830322720833205130e+00,1.578025871493636156e+00
1.377735529405033077e-02,-2.071033315318496992e+00,2.091862270639585297e+00,-1.795936931951295668e+00,1.598181886748970770e+00
1.623045634247144431e-02,-6.130475391225276294e-01,-7.181390465815633561e-01,-1.745127656382007508e+00,1.624555430320680838e+00
2.183139164581160419e-02,-1.689698196315074563e+00,1.869103533122273619e+00,-1.622343746154389033e+00,1.675049770906607671e+00
2.226882062960000574e-02,-1.459400394128588241e+00,1.225515212919413122e+00,-1.612443561250439084e+00,1.678440371315985224e+00
3.204358937817719521e-02,-1.598980443406438745e+00,3.025167665120267024e+00,-1.385512239639172138e+00,1.734454486140066587e+00
4.234611399870480408e-02,-1.143475350137433066e+00,1.262229074901785930e+00,-1.150764218890462320e+00,1.755643450288067564e+00
4.737250672948978281e-02,-1.004643461075405586e+00,2.411516448966669390e+00,-1.045295463416976212e+00,1.753286364913181572e+00
5.172149166639106177e-02,-1.016081097107775166e+00,1.351911883278419158e+00,-9.619080251080927013e-01,1.745111419946834053e+00
7.124447736659111907e-02,-6.310413225257210934e-01,1.705737694249211733e+00,-7.290806703702402691e-01,1.648058159787423316e+00
7.501730735154232832e-02,1.524880434023578868e-02,1.666822631377848030e+00,-7.200783475936761713e-01,1.619683974979335250e+00
7.815613988538827606e-02,-1.162076149908309874e+00,1.741622845248803175e+00,-7.236691667611667711e-01,1.594119937371141216e+00
8.840229070067440187e-02,-1.682540152465743510e-01,7.321840687120537705e-01,-8.030405851492382618e-01,1.500407765618650080e+00
9.070176608996860512e-02,-1.432657602552628751e+00,2.269149957848131116e+00,-8.317546878371364638e-01,1.477726456774049568e+00
1.002873984952502573e-01,-8.117029978095018361e-01,1.133648018564815896e+00,-9.739012179083824661e-01,1.379568087455870451e+00
1.086669708042684590e-01,-5.673161798853219029e-01,5.412331049945274808e-01,-1.102897466042100483e+00,1.292509847603199313e+00
1.158988653192494223e-01,-7.442359766291446466e-01,7.371380220950807249e-01,-1.194530888203097163e+00,1.219718567889751748e+00
1.309213121464990470e-01,3.175108005807623091e-01,2.199199750376765294e+00,-1.243333754333454610e+00,1.087208185228880408e+00
1.397875904698681060e-01,-1.469162186888484101e+00,3.298872781051900294e-01,-1.154349022169782746e+00,1.025395913950614357e+00
1.416389679729049833e-01,-1.637242380649964524e+00,-2.674802657322929988e-01,-1.127078491156234152e+00,1.013841498444059130e+00
1.467432332076524792e-01,-1.330066787704933251e+00,3.276500658442182967e-02,-1.040535691484896219e+00,9.840136871657010342e-01
1.505982872430035036e-01,-7.978696000482886630e-01,1.601641074284316124e+00,-9.669094768981951749e-01,9.631977300918537210e-01
1.526901338414207165e-01,-8.041227992007291547e-01,1.435449094858319619e+00,-9.250071730001035997e-01,9.524229913788482271e-01
1.535797790861145318e-01,-8.825449349348596373e-01,1.047251407477211238e+00,-9.069057567718507018e-01,9.479388966758331980e-01
1.748073862330050687e-01,-8.623914912606114314e-01,-2.158574417088078290e-01,-5.100905944420114357e-01,8.504054772001276019e-01
2.152437481791498186e-01,-5.848927362635798488e-01,-1.084078495698694855e-01,-7.947568532266385821e-01,6.291845161641823614e-01
2.195795922020913338e-01,-1.219607078659005861e+00,1.781964865671737064e+00,-8.913096909076246854e-01,6.020824064429888267e-01
2.416995979811309425e-01,-8.749115965572131781e-01,-5.998170037012540146e-01,-1.326329996324365101e+00,4.676030461588065457e-01
2.482942478852927515e-01,3.407240128151303171e-01,-1.838830402565596600e+00,-1.394919918478340959e+00,4.310802753687096867e-01
2.578940091477941454e-01,-1.152590687834087690e+00,6.483333109230033919e-01,-1.405348220110608892e+00,3.830031906933404895e-01
2.588356372373996628e-01,-1.044437395790234424e+00,8.406236023658473222e-01,-1.400216417090003995e+00,3.786318428362783206e-01
2.658094132750656868e-01,-1.485411115535200555e+00,-1.208333937131736424e-01,-1.332858784756677295e+00,3.478227042625426924e-01
2.796363291025302233e-01,-1.400107942753441526e+00,-1.490115375125750763e+00,-1.083856645765507887e+00,2.922587115893842680e-01
2.848075886498894205e-01,-1.064856824151181547e+00,-3.223651471112459754e-01,-9.665842734810136117e-01,2.722886482658087859e-01
2.851224004151887703e-01,-1.137018186931325170e+00,-8.072626225597461236e-01,-9.592204882789262532e-01,2.710731258832908552e-01
2.865937649138132759e-01,-1.158202202191513708e+00,-1.162634616786952790e+00,-9.245715390695411484e-01,2.653846258758295051e-01
3.122142729220782620e-01,1.502111854265747448e-01,1.797032191190141681e+00,-3.739287967745008601e-01,1.563612769451455387e-01
3.239012627192884297e-01,-2.721875243310781234e-02,2.401310197861570572e-01,-2.571696977952956931e-01,9.324154953589924855e-02
3.350468775051347325e-01,-1.977976861157249022e-02,-2.552672004583245724e-01,-2.808702144535093481e-01,2.040368658374042826e-02
3.362858304273617094e-01,-4.904272700453510270e-01,2.474251377397543028e-01,-2.908989844887813203e-01,1.145207687402714086e-02
3.397359477490303759e-01,-4.222197298384359199e-01,1.289178553765731594e-01,-3.255984048076639437e-01,-1.443042921191885382e-02
3.448312593988378527e-01,7.408613152077425656e-02,-8.990226719477080186e-01,-3.933687362724599956e-01,-5.531421212004136029e-02
3.689885533003449680e-01,-9.048766937876085992e-01,-2.681711536246327299e-01,-8.904971494676869881e-01,-2.971352339770254591e-01
3.737180028823513522e-01,-7.558199262224229997e-01,-8.242035862466969842e-01,-1.003260699228744501e+00,-3.547260897570005400e-01
3.778376441928239515e-01,-1.197154764147847272e+00,-2.371923124150059348e-01,-1.100796602955275594e+00,-4.078756143086125774e-01
