lambda,y1,y2,y3,true_y1,true_y2,true_y3
1.450644609440548093e-02,-2.201470701622719114e-02,4.920575206833144755e+00,6.451764984333137332e-02,4.883794394823522377e-05,5.004313063230585890e+00,1.450593731764514456e-02
4.716807828872369990e-02,-9.107493733557209259e-02,5.032471053424321994e+00,8.217993133762960256e-02,1.677186583623575897e-03,5.045509027212433217e+00,4.715059009377109422e-02
1.241962390503920377e-01,9.321089383537820017e-02,5.317720404217689989e+00,4.630697686256500523e-02,3.041544397974995165e-02,5.311428232648509606e+00,1.238772034599733285e-01
1.459432042201340429e-01,1.468241976532826398e-01,5.413277056128257492e+00,1.290681278424987422e-01,4.920884998250228681e-02,5.427548519486361300e+00,1.454256714457104471e-01
2.529217074455316627e-01,3.428396737820285090e-01,6.198975270894099054e+00,2.725796807358950025e-01,2.507019897233021544e-01,6.230776336955599071e+00,2.502337778978708238e-01
3.148296165901703358e-01,4.885481529777591647e-01,6.844455633475948986e+00,2.106239917585569776e-01,4.750639003759318246e-01,6.841117977952269058e+00,3.096544668022290780e-01
3.899539992248183262e-01,9.478350017180959819e-01,7.644716385139851411e+00,3.155370442407599008e-01,8.789634297308743793e-01,7.677616331040524322e+00,3.801458681871975331e-01
5.763168726748343351e-01,2.522887373450738657e+00,9.925403979816527666e+00,5.702479654328689307e-01,2.589194512133139447e+00,9.854956543352228593e+00,5.449394282297534975e-01
7.904688090872431516e-01,5.722426098860734278e+00,1.169339428624498645e+01,7.866308191668988092e-01,5.743122279395583618e+00,1.163172077735793053e+01,7.106831634240963202e-01
8.107197595578435889e-01,6.075761625276179245e+00,1.177661066213179453e+01,8.071046350910702216e-01,6.091783279484515923e+00,1.172214509716287445e+01,7.247832598046672903e-01
8.128104660716543028e-01,6.113070066019678173e+00,1.178175711914866142e+01,8.107942258151505932e-01,6.128136176901618271e+00,1.173056559856659042e+01,7.262221233026288081e-01
8.691471809951423211e-01,7.134967809084495016e+00,1.180509435594260204e+01,8.152607310269897045e-01,7.128902534112383726e+00,1.189060936583464034e+01,7.637787388095430563e-01
8.711918935943433473e-01,7.166603345463554930e+00,1.184927768577048290e+01,8.545679433276525128e-01,7.165877988957699785e+00,1.189393657899527135e+01,7.650969585679198159e-01
9.570969472378504372e-01,8.754092698003427486e+00,1.196834920371082411e+01,7.992923132405781450e-01,8.742188710713683975e+00,1.187074832606887043e+01,8.175231599056659304e-01
1.053687158143737257e+00,1.047577676960576376e+01,1.136766885930608595e+01,8.897822979660915399e-01,1.050889374248708030e+01,1.145976538935124722e+01,8.692519482170263379e-01
1.113603497442315016e+00,1.160325088208192135e+01,1.108946571677464910e+01,8.654428416929641488e-01,1.155915324131764876e+01,1.100555609200038276e+01,8.972952034463246296e-01
1.242875925994643360e+00,1.352449171156852614e+01,9.506818512696282752e+00,1.014906068343236045e+00,1.357614990543828526e+01,9.558599754066475995e+00,9.467141769757413394e-01
1.272485817923623586e+00,1.390605415061437711e+01,9.087951923388848385e+00,9.119413833779794754e-01,1.397230180443875724e+01,9.148653250269594750e+00,9.558344042091075909e-01
1.331750098209033339e+00,1.465882874201253827e+01,8.246786922906915507e+00,1.070112607917271141e+00,1.467352838685476257e+01,8.255280508662107053e+00,9.715642469845207074e-01
1.375116628835697963e+00,1.509336503656283313e+01,7.542965159332248426e+00,8.813807447131480899e-01,1.510132635085843233e+01,7.548387533648512004e+00,9.809157402245811674e-01
1.509386208773859872e+00,1.583041014631447574e+01,5.143872469594110264e+00,9.385025624579553805e-01,1.590969002729799087e+01,5.156563364343368150e+00,9.981149912098769006e-01
1.534385272827588187e+00,1.604050731907543437e+01,4.695447871827957975e+00,1.068081313820868017e+00,1.596820624123564336e+01,4.688606841625713173e+00,9.993371908067768539e-01
1.549938521832178617e+00,1.604772205101839333e+01,4.398314847881487744e+00,9.184903334563596644e-01,1.598956149673147920e+01,4.395325499151688575e+00,9.997824838720703600e-01
1.602884120865403661e+00,1.596956535390190268e+01,3.389263728555578670e+00,8.996520036440514012e-01,1.597530380071336431e+01,3.388633678900851542e+00,9.994852309064444773e-01
1.619858011983387414e+00,1.584306118464392910e+01,3.076477472327384444e+00,9.996570053671958167e-01,1.594231188280793177e+01,3.064289001638313970e+00,9.987967169157249137e-01
1.728834306166524781e+00,1.548125621831989562e+01,9.589933872786375879e-01,9.238369076555984494e-01,1.540924603383585811e+01,9.865017162796974048e-01,9.875379686055104633e-01
1.764924045201735847e+00,1.520009048147258746e+01,2.659149200531067403e-01,1.014962671076818701e+00,1.511521278231726306e+01,3.066206893826100011e-01,9.812163152825754686e-01
1.781413515048217544e+00,1.503306727407938936e+01,-3.737660940305402579e-02,9.165499547162145877e-01,1.496256597019856471e+01,-1.802965110502929846e-03,9.779020694544254821e-01
1.817852028300454448e+00,1.467216431139611998e+01,-7.290325848368980344e-01,9.689317387993969799e-01,1.458636419077920010e+01,-6.776726549361707930e-01,9.696366520666250821e-01
1.900539658227132556e+00,1.362105987251569772e+01,-2.232135762200625706e+00,8.995974889968055832e-01,1.355083957881739387e+01,-2.178244612356323717e+00,9.461254840254207377e-01
2.005319397680450866e+00,1.187489285834544717e+01,-3.942057182997150910e+00,8.703972580731591524e-01,1.194108301645367476e+01,-4.007432295545321210e+00,9.070709220423055497e-01
2.013705358204179507e+00,1.177242060877308205e+01,-4.119859053266182514e+00,8.126350806695248341e-01,1.180095334678918206e+01,-4.150319786536853961e+00,9.035087654738596097e-01
2.024540787575034084e+00,1.166821376456597648e+01,-4.382882861574662670e+00,8.274300536908242298e-01,1.161787469091438041e+01,-4.334194221532378322e+00,8.988120822045340130e-01
2.051754324048556732e+00,1.117049859378197674e+01,-4.812192044738413443e+00,7.909480064292020440e-01,1.114892051528960870e+01,-4.792336627850578346e+00,8.865521326413454695e-01
2.099283003584998308e+00,1.037129208047092810e+01,-5.653766657708503729e+00,8.531402493986961488e-01,1.030420069871780164e+01,-5.580350423241206670e+00,8.635711175839936304e-01
2.111966879632884542e+00,1.001116764521860070e+01,-5.718811713439761135e+00,8.914747081871301493e-01,1.007451156671928061e+01,-5.788139616212425231e+00,8.571062705435641416e-01
2.144998205899859567e+00,9.468706522770265366e+00,-6.319006663907842380e+00,7.397967676388553793e-01,9.470605448795723191e+00,-6.324529550217738993e+00,8.396260810030060640e-01
2.151126610706914910e+00,9.414992594579874918e+00,-6.490220957057421636e+00,8.838417492454249125e-01,9.357882942924929282e+00,-6.423314156445139034e+00,8.362816008049609451e-01
2.151385751326569284e+00,9.416853783890635654e+00,-6.499424656674396061e+00,8.085353371361130304e-01,9.353113010689794393e+00,-6.427486316382647225e+00,8.361394858791444396e-01
