lambda,y1,y2,true_y1,true_y2
2.445084088201487926e-02,7.079296109623667288e-01,5.466824602529671284e-02,7.107296212803579927e-01,1.100560074806297001e-01
2.718213349758502595e-02,6.475913889200696216e-01,1.912666194571194800e-01,6.474500135133897105e-01,1.116660948906380013e-01
3.089283703603218356e-02,5.551315332719667373e-01,9.390386095825944968e-02,5.542568464710597720e-01,1.089560836300371566e-01
5.088073454501462756e-02,-1.003967114183442616e-02,-5.680858471811092020e-02,-2.626380051362561113e-02,-8.694600125288942660e-03
5.520995670798045651e-02,-1.839884449667973376e-01,2.160643524445239605e-02,-1.532396142323709243e-01,-5.539812000166960404e-02
7.130453418484539174e-02,-5.594301533309132823e-01,-2.684373452530969817e-01,-5.592053826399008276e-01,-2.687624322332671234e-01
7.185033548623431798e-02,-5.624107547823185005e-01,-2.876974208827136614e-01,-5.702980292638183402e-01,-2.765052339189518205e-01
7.405768336907359028e-02,-6.220652440584513165e-01,-2.957965646134112503e-01,-6.129448365000247367e-01,-3.077534247661966593e-01
7.407055273870633005e-02,-6.693647354445241282e-01,-2.343153570356970583e-01,-6.131828288278879935e-01,-3.079350026163953369e-01
7.774466692504211629e-02,-6.866235010987890020e-01,-3.469597255687044135e-01,-6.758611027539458416e-01,-3.591813837676115506e-01
8.671148364319913870e-02,-7.952548459933743707e-01,-4.644852273635202144e-01,-7.817698267290010827e-01,-4.737575715722706637e-01
9.000139104508986243e-02,-8.096658788996103917e-01,-5.063723908769134363e-01,-8.030105226548872599e-01,-5.096158189595459964e-01
1.201106301013843414e-01,-5.746637404324174137e-01,-5.777032635142799188e-01,-5.878711305915140795e-01,-5.528172239868300863e-01
1.325420809514136211e-01,-3.363286374657807887e-01,-4.024958441488311611e-01,-3.507871734811559561e-01,-3.857148979272617684e-01
1.350797922175240862e-01,-2.972313065033094781e-01,-3.404721780937042253e-01,-2.985813761007468647e-01,-3.390165736740145541e-01
1.410272999500146174e-01,-1.922222852159951589e-01,-2.005129781012306156e-01,-1.759234427300425951e-01,-2.154716855074661486e-01
1.535315463370474642e-01,7.577559993754377776e-02,8.260507578957443364e-02,6.307574555741463085e-02,9.099571543038777188e-02
1.691347073828557424e-01,2.942431868531137917e-01,4.866907667500947055e-01,2.751600669489242534e-01,4.941315426508294806e-01
1.697141050985606636e-01,2.762520046529421958e-01,5.098276578946809856e-01,2.805690860755264970e-01,5.081887622465256493e-01
2.015349753923831866e-01,3.059829332413047664e-01,1.048709072875393611e+00,2.994817180184752292e-01,9.528835585980320877e-01
2.117721634663103369e-01,2.397925256138519201e-01,8.899564963438852949e-01,2.218053834586572182e-01,9.056207549796689849e-01
2.159247904312660005e-01,1.864054627682999732e-01,8.574236631194137592e-01,1.864292447534249553e-01,8.574085928470795981e-01
2.166223641840426817e-01,1.821352860386419303e-01,8.467028386261168382e-01,1.804372994714360801e-01,8.477303510357581118e-01
2.201578911522996673e-01,1.934425598007743219e-01,7.709183870566672647e-01,1.502608781822862560e-01,7.919628256823960655e-01
2.223679278968107020e-01,4.209983932516650484e-02,7.901405692826616312e-01,1.318218452077969949e-01,7.516219647338040488e-01
2.307463052672169557e-01,-2.679060500124218203e-02,5.897171674661177976e-01,6.862538160048863023e-02,5.645013021166129796e-01
2.370620769846631948e-01,4.560310971737246283e-02,3.917738546213589967e-01,3.210375205127238840e-02,3.940517279469786804e-01
2.456997429949809852e-01,3.283359702449259801e-03,1.346561060326695314e-01,3.638679965745929539e-03,1.346368296795007191e-01
2.463522417832267886e-01,1.112042367685550821e-02,1.139262843702974343e-01,2.620552218643969200e-03,1.143170082872210919e-01
2.576126161820364580e-01,-1.167252683479193254e-02,-2.388407875138742198e-01,1.132619594808809138e-02,-2.366131577477700587e-01
2.607037813359446288e-01,5.508107682328573784e-02,-3.246833839050211057e-01,2.217486061650040738e-02,-3.292216044971188471e-01
2.898341138494915370e-01,2.678373282637135366e-01,-8.865871558197122582e-01,2.351558032604705029e-01,-9.198505884763389373e-01
2.950192087123953977e-01,2.847858674677518076e-01,-9.261006469780913575e-01,2.756970313343246048e-01,-9.485280902092347866e-01
3.013203576626153346e-01,3.231835880302333930e-01,-9.589158394644119454e-01,3.166236954793933411e-01,-9.476443479257684599e-01
3.076654663790300281e-01,4.442161818999256218e-01,-9.413561641568192195e-01,3.442190069373186612e-01,-9.080928001334116484e-01
3.302012955977313702e-01,2.453670482808830988e-01,-5.238344215930024195e-01,2.813428972194845779e-01,-5.102311443211360320e-01
3.321630477034516193e-01,2.058890683866128890e-01,-4.855335016146503646e-01,2.623557361271233734e-01,-4.622296871430378040e-01
3.368565438332686846e-01,1.793815873399737248e-01,-3.572518528543585092e-01,2.082832213201320226e-01,-3.429923150138380339e-01
3.460638229047346970e-01,1.068297032194113760e-01,-7.749288544999437256e-02,7.000980060567260632e-02,-1.015495221969981016e-01
3.482758834614562149e-01,3.666974453111725152e-03,-6.334782119238296927e-02,3.134533027285671403e-02,-4.414089974565334890e-02
3.495636114520338511e-01,-2.691974691240163475e-02,-3.621202593927813629e-02,8.027578675797368210e-03,-1.111296460338476524e-02
3.827831627802557035e-01,-6.665066885571561128e-01,5.044909156062393762e-01,-6.350774974749202606e-01,5.758139566513488239e-01
3.964362353648120951e-01,-8.080517610662273364e-01,6.421695724644674863e-01,-7.906722415842293294e-01,6.019592031438352198e-01
4.090351320457297213e-01,-8.178455392126795509e-01,5.148989844633337087e-01,-8.074089818529961438e-01,5.192901651281075504e-01
4.409626317980367416e-01,-2.455164352782459036e-01,1.355153576523018821e-01,-2.610663013578625180e-01,1.015412430802287019e-01
4.468388424141526150e-01,-9.267288145760957385e-02,3.519757144574154478e-02,-9.366780467359014928e-02,3.250500416698344497e-02
4.473927517921094665e-01,-9.638525645055988356e-02,-2.598309312091939133e-02,-7.738851875106313172e-02,2.655428769065750622e-02
4.495322411235208593e-01,-7.439982281402194447e-03,2.426009822459953419e-02,-1.396194115291689297e-02,4.581919650309909491e-03
4.676524524502124747e-01,5.180494425999976338e-01,-7.744843443168077102e-02,5.157374965987620019e-01,-1.062889982578521658e-01
4.683205346943309921e-01,5.338623163300244556e-01,-1.032407752996044731e-01,5.335546893683366099e-01,-1.076281484863517851e-01
4.725559833368571105e-01,6.411623321791850572e-01,-1.006840584878117839e-01,6.411331202336526536e-01,-1.116632659853405429e-01
4.761338210904103585e-01,7.244236196547851891e-01,-1.222434575480322999e-01,7.236271676572557654e-01,-1.093327053184680597e-01
4.815915892060435022e-01,8.184362900224568804e-01,-2.394095779897557896e-02,8.317886033342216656e-01,-9.663887564177892076e-02
4.918125814129099549e-01,9.912005940276421567e-01,-8.693198567827210843e-02,9.658227299308475011e-01,-4.972875949575675247e-02
4.935065804363411024e-01,9.979828277920937962e-01,-6.187000150947710719e-02,9.784497890979184653e-01,-3.994228855747462836e-02
4.956050782011430789e-01,9.896635147849143221e-01,-2.702209963429970732e-02,9.901057785631688368e-01,-2.734783959055727895e-02
4.991942254222233588e-01,9.560956016976059901e-01,6.791062834384607033e-04,9.996668018938470457e-01,-5.061187305581207885e-03
5.156874385219720747e-01,8.958165502093476951e-01,1.590884659553186142e-01,8.767187174532089511e-01,8.669655473371901122e-02
5.221250929031509003e-01,7.668971965702197080e-01,1.716319443803804856e-01,7.605932237554584585e-01,1.064211028134643827e-01
5.286575381082909697e-01,6.090079861886388279e-01,2.131411527309570175e-01,6.113266739323960364e-01,1.112811146137746426e-01
5.312927548186049398e-01,5.438749816673322801e-01,1.066830799019410636e-01,5.437701820510245643e-01,1.083144785124366821e-01
5.316129186954393626e-01,5.314627750922528149e-01,1.635331253571256638e-01,5.353177958836777828e-01,1.077508829614253066e-01
5.457982857394634291e-01,1.212404087011696718e-01,5.592893850959829855e-02,1.262059209168660823e-01,3.735366849210596668e-02
5.542855857264279429e-01,-1.145947472331795003e-01,-7.575404958751291717e-02,-1.264965587308297112e-01,-4.490117843691362326e-02
