lambda,y1,y2,y3,true_y1,true_y2,true_y3
-9.852754604979889752e-01,1.018272928252173526e-01,2.720199370115812698e+00,9.053013270209350205e-01,9.238508508713197398e-02,2.678549617419737849e+00,9.957233531726789044e-01
-9.545758537322790449e-01,3.128994977200691419e-01,2.605913369572627314e+00,1.054138147099479506e+00,2.815492849722830426e-01,2.597568600208187917e+00,9.595467680793866583e-01
-9.383643308641211878e-01,4.227065120208640669e-01,2.578067025734378515e+00,1.012401796599818882e+00,3.776604541076795107e-01,2.555797558372983058e+00,9.259441567412050045e-01
-9.123924684255424467e-01,4.620933554655497488e-01,2.444893452892563879e+00,7.873102952504076324e-01,5.230745239044736206e-01,2.490273312291650054e+00,8.522869484170857435e-01
-8.833945166218679645e-01,6.514716479796628379e-01,2.326641043864853486e+00,7.773134123770096826e-01,6.688448727749621847e-01,2.419097451363332762e+00,7.434020017209025388e-01
-8.723654877916493522e-01,6.560669206291196431e-01,2.317448595727134464e+00,6.744961825767309405e-01,7.187142024429017395e-01,2.392563745295368527e+00,6.953056128112757861e-01
-8.247001613677980014e-01,9.823550833193630538e-01,2.299024479230800555e+00,4.909485279295132676e-01,8.918602341151402602e-01,2.281196671885725724e+00,4.523110907374340295e-01
-8.199042784487164948e-01,9.924295522780937073e-01,2.312552040816905574e+00,4.493982376534824130e-01,9.050829678992012850e-01,2.270282512167294708e+00,4.252350188058051095e-01
-8.116453042247009364e-01,8.351154194731145175e-01,2.261226960336532255e+00,3.369513469719344068e-01,9.259212918398818104e-01,2.251609523425702086e+00,3.777165091938191055e-01
-8.072180756930014134e-01,8.702726783873868666e-01,2.166460696768845562e+00,3.557506706630979010e-01,9.360687020965233751e-01,2.241663167143506996e+00,3.518172607410418040e-01
-7.709398529280531154e-01,1.088811234940501471e+00,2.183573809331521343e+00,1.365282965164057449e-01,9.913572804500084823e-01,2.161797070607524685e+00,1.311897194858012983e-01
-7.639881957589693684e-01,9.347504798246957236e-01,2.070649593457812188e+00,1.084947343811856341e-01,9.961401221714233367e-01,2.146821112676242649e+00,8.777731483875400587e-02
-7.437727346489082514e-01,9.944016020573301917e-01,2.198621976055019189e+00,-7.068294309658770813e-02,9.992346341541904486e-01,2.103857858084952070e+00,-3.911707947612055869e-02
-7.401569893290567137e-01,1.097490245862933422e+00,2.085662228210376945e+00,-6.441741156223752818e-02,9.980881790244156004e-01,2.096264579833728714e+00,-6.180604251791362025e-02
-7.204950327813803845e-01,9.158514734552698489e-01,1.989705944304869467e+00,-1.498751546242220178e-01,9.828653258322365138e-01,2.055450474198942334e+00,-1.843251238347378695e-01
-7.204060037446851084e-01,9.289972185306827335e-01,2.137780095304359307e+00,-2.022245658738842378e-01,9.827620631803423157e-01,2.055267487568932516e+00,-1.848748960067778113e-01
-6.953757945736631640e-01,1.027536961745766142e+00,2.035139164539899959e+00,-3.775904007293223175e-01,9.416779689658751895e-01,2.004462198439548537e+00,-3.365153826562825023e-01
-6.914210158649043425e-01,9.195494760949280977e-01,1.904455095499796302e+00,-3.232463712050890337e-01,9.330261846807076376e-01,1.996550648540759587e+00,-3.598084750254808006e-01
-6.774564419327964160e-01,9.284971600365433675e-01,1.875307986955220496e+00,-4.225319436414908814e-01,8.979071380785567102e-01,1.968863439376887570e+00,-4.401849286238406211e-01
