lambda,y1,y2,y3,true_y1,true_y2,true_y3
1.462891258603127298e-02,5.186902503301449308e-02,2.674215271938109456e-02,-9.021130656820029736e-02,1.462891258603127298e-02,2.914519369133916973e-02,2.564764802725605797e-03
2.145528995135248529e-02,-1.860261030931703585e-03,2.921916920349756225e-02,1.018338197520806676e-01,2.145528995135248529e-02,4.255551656893364482e-02,5.508709207939920145e-03
2.936568712014153704e-02,8.541152792178979825e-02,5.084167080364992986e-03,7.415055747241175443e-02,2.936568712014153704e-02,5.782209101637649645e-02,1.029466418325817624e-02
4.964626359714507942e-02,-7.907033162728033249e-04,1.609785692939341151e-01,-2.646740603797645419e-02,4.964626359714507942e-02,9.491983864209736776e-02,2.914155433032101367e-02
8.929817794855776647e-02,-1.973038240337468552e-03,1.805000974512057099e-01,1.219060653876124084e-01,8.929817794855776647e-02,1.535689453062044629e-01,9.117695639397674356e-02
1.111358338137558022e-01,1.323841959600856044e-01,7.941306534838948883e-02,1.593011738570836444e-01,1.111358338137558022e-01,1.746600818658998744e-01,1.374719972667602652e-01
1.162169634428946718e-01,5.997821037603127958e-02,2.608524611003955607e-01,1.507557778087885159e-01,1.162169634428946718e-01,1.781786515063910614e-01,1.492578256404417381e-01
1.441182941458873934e-01,2.123346033673827737e-01,1.187877266728647463e-01,1.930506258414430854e-01,1.441182941458873934e-01,1.870254765755091919e-01,2.193212300298029716e-01
1.600985672923700420e-01,2.529634794386694807e-01,2.044279706473698666e-01,2.317932097825552984e-01,1.600985672923700420e-01,1.834842972053716548e-01,2.624113520321272319e-01
1.682306691137640531e-01,2.581161053301200270e-01,1.567517870363027699e-01,2.471329917859269587e-01,1.682306691137640531e-01,1.791260464436355004e-01,2.848158907212369750e-01
2.099594317921411601e-01,2.242251744016395820e-01,4.875123207897844035e-02,3.411679379321647665e-01,2.099594317921411601e-01,1.285156000118451436e-01,3.997694242279048460e-01
2.282081423672743803e-01,1.496431348820727314e-01,1.181944626608139454e-01,5.029258704399145463e-01,2.282081423672743803e-01,9.136802188680424874e-02,4.471774922191200097e-01
2.317134486705367813e-01,1.409906961363760480e-01,4.129211018040001430e-02,4.523015203242611304e-01,2.317134486705367813e-01,8.320220703201346157e-02,4.558967886749981102e-01
2.393451117297886732e-01,3.209519634713576819e-01,4.569335147435012873e-02,4.196328928668410785e-01,2.393451117297886732e-01,6.429693292531175886e-02,4.743524369624109172e-01
2.831917771375493942e-01,2.084768252984560699e-01,-1.149432984378377376e-01,5.105765825418593362e-01,2.831917771375493942e-01,-7.249833540417813249e-02,5.617244181241519696e-01
3.013459476264803705e-01,2.206135632615998654e-01,-1.457669250288919083e-01,6.446734708505220679e-01,3.013459476264803705e-01,-1.416682072488791855e-01,5.858051208879062610e-01
